VoucherID,CompanyID,VoucherNo,VoucherType,VoucherDate,PartyID,PartyName,SubTotal,TaxAmount,GrandTotal,Narration,Status,CreatedDate,LastModifiedDate
VCH-0649,COMP-0012,PUR-000649,Purchase,2024-06-09,PTY-0197,Priya Singh Distributors,213000,38340,251340,Purchase to Priya Singh Distributors,Posted,2024-06-09,2024-05-01
VCH-0650,COMP-0012,SAL-000650,Sales,2024-06-21,PTY-0210,Amit Patel Distributors,286000,51480,337480,Sales to Amit Patel Distributors,Posted,2024-06-21,2024-05-01
VCH-0651,COMP-0012,PUR-000651,Purchase,2024-05-21,PTY-0199,Priya Kumar Traders,286500,51570,338070,Purchase to Priya Kumar Traders,Posted,2024-05-21,2024-05-01
VCH-0652,COMP-0012,JOU-000652,Journal,2024-04-16,,,23044,0,23044,Journal voucher,Posted,2024-04-16,2024-05-01
VCH-0653,COMP-0012,SAL-000653,Sales,2024-04-01,PTY-0199,Priya Kumar Traders,226300,40734,267034,Sales to Priya Kumar Traders,Posted,2024-04-01,2024-05-01
VCH-0654,COMP-0012,SAL-000654,Sales,2024-05-05,PTY-0204,Vikram Sharma Distributors,1111300,200034,1311334,Sales to Vikram Sharma Distributors,Posted,2024-05-05,2024-05-01
VCH-0655,COMP-0012,SAL-000655,Sales,2024-04-16,PTY-0194,Rajesh Singh Distributors,137500,24750,162250,Sales to Rajesh Singh Distributors,Posted,2024-04-16,2024-05-01
VCH-0656,COMP-0012,PUR-000656,Purchase,2024-04-14,PTY-0199,Priya Kumar Traders,385000,69300,454300,Purchase to Priya Kumar Traders,Posted,2024-04-14,2024-05-01
VCH-0657,COMP-0012,SAL-000657,Sales,2024-04-27,PTY-0209,Rajesh Gupta Suppliers,130000,23400,153400,Sales to Rajesh Gupta Suppliers,Posted,2024-04-27,2024-05-01
VCH-0658,COMP-0012,JOU-000658,Journal,2024-05-14,,,14082,0,14082,Journal voucher,Posted,2024-05-14,2024-05-01
VCH-0659,COMP-0012,SAL-000659,Sales,2024-05-26,PTY-0198,Amit Patel Traders,240500,43290,283790,Sales to Amit Patel Traders,Posted,2024-05-26,2024-05-01
VCH-0660,COMP-0012,PUR-000660,Purchase,2024-06-10,PTY-0198,Amit Patel Traders,40000,7200,47200,Purchase to Amit Patel Traders,Posted,2024-06-10,2024-05-01
VCH-0661,COMP-0012,PUR-000661,Purchase,2024-06-09,PTY-0196,Amit Sharma Distributors,440000,79200,519200,Purchase to Amit Sharma Distributors,Posted,2024-06-09,2024-05-01
VCH-0662,COMP-0012,SAL-000662,Sales,2024-04-16,PTY-0204,Vikram Sharma Distributors,960000,172800,1132800,Sales to Vikram Sharma Distributors,Posted,2024-04-16,2024-05-01
VCH-0663,COMP-0012,SAL-000663,Sales,2024-06-18,PTY-0196,Amit Sharma Distributors,110000,19800,129800,Sales to Amit Sharma Distributors,Posted,2024-06-18,2024-05-01
VCH-0664,COMP-0012,SAL-000664,Sales,2024-04-01,PTY-0200,Vikram Patel Distributors,43600,7848,51448,Sales to Vikram Patel Distributors,Posted,2024-04-01,2024-05-01
VCH-0665,COMP-0012,JOU-000665,Journal,2024-04-13,,,18386,0,18386,Journal voucher,Posted,2024-04-13,2024-05-01
VCH-0666,COMP-0012,SAL-000666,Sales,2024-05-27,PTY-0203,Amit Kumar Suppliers,750000,135000,885000,Sales to Amit Kumar Suppliers,Posted,2024-05-27,2024-05-01
VCH-0667,COMP-0013,SAL-000667,Sales,2024-06-07,PTY-0211,Amit Sharma Distributors,52000,9360,61360,Sales to Amit Sharma Distributors,Posted,2024-06-07,2024-05-01
VCH-0668,COMP-0013,SAL-000668,Sales,2024-05-18,PTY-0213,Vikram Sharma Traders,244000,43920,287920,Sales to Vikram Sharma Traders,Posted,2024-05-18,2024-05-01
VCH-0669,COMP-0013,SAL-000669,Sales,2024-05-11,PTY-0219,Neha Patel Distributors,220000,39600,259600,Sales to Neha Patel Distributors,Posted,2024-05-11,2024-05-01
VCH-0670,COMP-0013,PUR-000670,Purchase,2024-05-19,PTY-0226,Neha Gupta Traders,240000,43200,283200,Purchase to Neha Gupta Traders,Posted,2024-05-19,2024-05-01
VCH-0671,COMP-0013,JOU-000671,Journal,2024-05-28,,,5716,0,5716,Journal voucher,Posted,2024-05-28,2024-05-01
VCH-0672,COMP-0013,SAL-000672,Sales,2024-06-13,PTY-0223,Amit Kumar Traders,6300,1134,7434,Sales to Amit Kumar Traders,Posted,2024-06-13,2024-05-01
VCH-0673,COMP-0013,JOU-000673,Journal,2024-05-28,,,7931,0,7931,Journal voucher,Posted,2024-05-28,2024-05-01
VCH-0674,COMP-0013,SAL-000674,Sales,2024-05-03,PTY-0219,Neha Patel Distributors,167700,30186,197886,Sales to Neha Patel Distributors,Posted,2024-05-03,2024-05-01
VCH-0675,COMP-0013,JOU-000675,Journal,2024-04-29,,,21946,0,21946,Journal voucher,Posted,2024-04-29,2024-05-01
VCH-0676,COMP-0013,JOU-000676,Journal,2024-04-05,,,16946,0,16946,Journal voucher,Posted,2024-04-05,2024-05-01
VCH-0677,COMP-0013,SAL-000677,Sales,2024-04-30,PTY-0216,Rajesh Patel Distributors,1500,270,1770,Sales to Rajesh Patel Distributors,Posted,2024-04-30,2024-05-01
VCH-0678,COMP-0013,SAL-000678,Sales,2024-05-03,PTY-0219,Neha Patel Distributors,511000,91980,602980,Sales to Neha Patel Distributors,Posted,2024-05-03,2024-05-01
VCH-0679,COMP-0013,JOU-000679,Journal,2024-05-06,,,11095,0,11095,Journal voucher,Posted,2024-05-06,2024-05-01
VCH-0680,COMP-0013,SAL-000680,Sales,2024-05-23,PTY-0227,Priya Singh Traders,240000,43200,283200,Sales to Priya Singh Traders,Posted,2024-05-23,2024-05-01
VCH-0681,COMP-0013,SAL-000681,Sales,2024-06-19,PTY-0216,Rajesh Patel Distributors,13200,2376,15576,Sales to Rajesh Patel Distributors,Posted,2024-06-19,2024-05-01
VCH-0682,COMP-0013,SAL-000682,Sales,2024-05-01,PTY-0217,Amit Gupta Traders,147500,26550,174050,Sales to Amit Gupta Traders,Posted,2024-05-01,2024-05-01
VCH-0683,COMP-0013,SAL-000683,Sales,2024-06-08,PTY-0225,Neha Sharma Traders,233500,42030,275530,Sales to Neha Sharma Traders,Posted,2024-06-08,2024-05-01
VCH-0684,COMP-0013,JOU-000684,Journal,2024-05-12,,,13923,0,13923,Journal voucher,Posted,2024-05-12,2024-05-01
VCH-0685,COMP-0013,PUR-000685,Purchase,2024-06-04,PTY-0212,Priya Kumar Distributors,54000,9720,63720,Purchase to Priya Kumar Distributors,Posted,2024-06-04,2024-05-01
VCH-0686,COMP-0013,JOU-000686,Journal,2024-04-20,,,12927,0,12927,Journal voucher,Posted,2024-04-20,2024-05-01
VCH-0687,COMP-0013,JOU-000687,Journal,2024-06-13,,,20152,0,20152,Journal voucher,Posted,2024-06-13,2024-05-01
VCH-0688,COMP-0013,SAL-000688,Sales,2024-05-29,PTY-0214,Neha Singh Traders,228500,41130,269630,Sales to Neha Singh Traders,Posted,2024-05-29,2024-05-01
VCH-0689,COMP-0013,SAL-000689,Sales,2024-04-18,PTY-0225,Neha Sharma Traders,416300,74934,491234,Sales to Neha Sharma Traders,Posted,2024-04-18,2024-05-01
VCH-0690,COMP-0013,PUR-000690,Purchase,2024-06-17,PTY-0223,Amit Kumar Traders,84500,15210,99710,Purchase to Amit Kumar Traders,Posted,2024-06-17,2024-05-01
VCH-0691,COMP-0013,JOU-000691,Journal,2024-04-17,,,11779,0,11779,Journal voucher,Posted,2024-04-17,2024-05-01
VCH-0692,COMP-0013,JOU-000692,Journal,2024-06-16,,,14779,0,14779,Journal voucher,Posted,2024-06-16,2024-05-01
VCH-0693,COMP-0013,JOU-000693,Journal,2024-06-17,,,17536,0,17536,Journal voucher,Posted,2024-06-17,2024-05-01
VCH-0694,COMP-0013,SAL-000694,Sales,2024-05-09,PTY-0221,Vikram Sharma Traders,935000,168300,1103300,Sales to Vikram Sharma Traders,Posted,2024-05-09,2024-05-01
VCH-0695,COMP-0013,JOU-000695,Journal,2024-06-21,,,19743,0,19743,Journal voucher,Posted,2024-06-21,2024-05-01
VCH-0696,COMP-0013,JOU-000696,Journal,2024-06-23,,,17987,0,17987,Journal voucher,Posted,2024-06-23,2024-05-01
VCH-0697,COMP-0013,SAL-000697,Sales,2024-04-19,PTY-0218,Amit Singh Traders,392200,70596,462796,Sales to Amit Singh Traders,Posted,2024-04-19,2024-05-01
VCH-0698,COMP-0013,SAL-000698,Sales,2024-05-30,PTY-0217,Amit Gupta Traders,82000,14760,96760,Sales to Amit Gupta Traders,Posted,2024-05-30,2024-05-01
VCH-0699,COMP-0013,JOU-000699,Journal,2024-04-19,,,8318,0,8318,Journal voucher,Posted,2024-04-19,2024-05-01
VCH-0700,COMP-0013,SAL-000700,Sales,2024-05-18,PTY-0225,Neha Sharma Traders,380000,68400,448400,Sales to Neha Sharma Traders,Posted,2024-05-18,2024-05-01
VCH-0701,COMP-0013,PUR-000701,Purchase,2024-06-05,PTY-0212,Priya Kumar Distributors,344000,61920,405920,Purchase to Priya Kumar Distributors,Posted,2024-06-05,2024-05-01
VCH-0702,COMP-0013,JOU-000702,Journal,2024-05-10,,,10437,0,10437,Journal voucher,Posted,2024-05-10,2024-05-01
VCH-0703,COMP-0013,SAL-000703,Sales,2024-04-13,PTY-0219,Neha Patel Distributors,260000,46800,306800,Sales to Neha Patel Distributors,Posted,2024-04-13,2024-05-01
VCH-0704,COMP-0013,PUR-000704,Purchase,2024-06-20,PTY-0211,Amit Sharma Distributors,101000,18180,119180,Purchase to Amit Sharma Distributors,Posted,2024-06-20,2024-05-01
VCH-0705,COMP-0013,SAL-000705,Sales,2024-06-19,PTY-0222,Priya Sharma Distributors,3000,540,3540,Sales to Priya Sharma Distributors,Posted,2024-06-19,2024-05-01
VCH-0706,COMP-0013,JOU-000706,Journal,2024-05-27,,,19201,0,19201,Journal voucher,Posted,2024-05-27,2024-05-01
VCH-0707,COMP-0013,JOU-000707,Journal,2024-06-25,,,23558,0,23558,Journal voucher,Posted,2024-06-25,2024-05-01
VCH-0708,COMP-0013,JOU-000708,Journal,2024-04-20,,,17383,0,17383,Journal voucher,Posted,2024-04-20,2024-05-01
VCH-0709,COMP-0013,JOU-000709,Journal,2024-06-24,,,13752,0,13752,Journal voucher,Posted,2024-06-24,2024-05-01
VCH-0710,COMP-0013,JOU-000710,Journal,2024-04-19,,,11433,0,11433,Journal voucher,Posted,2024-04-19,2024-05-01
VCH-0711,COMP-0013,SAL-000711,Sales,2024-06-18,PTY-0223,Amit Kumar Traders,65000,11700,76700,Sales to Amit Kumar Traders,Posted,2024-06-18,2024-05-01
VCH-0712,COMP-0013,SAL-000712,Sales,2024-05-09,PTY-0215,Amit Singh Traders,40000,7200,47200,Sales to Amit Singh Traders,Posted,2024-05-09,2024-05-01
VCH-0713,COMP-0013,JOU-000713,Journal,2024-05-24,,,9969,0,9969,Journal voucher,Posted,2024-05-24,2024-05-01
VCH-0714,COMP-0013,PUR-000714,Purchase,2024-06-10,PTY-0217,Amit Gupta Traders,165000,29700,194700,Purchase to Amit Gupta Traders,Posted,2024-06-10,2024-05-01
VCH-0715,COMP-0013,SAL-000715,Sales,2024-04-05,PTY-0226,Neha Gupta Traders,960000,172800,1132800,Sales to Neha Gupta Traders,Posted,2024-04-05,2024-05-01
VCH-0716,COMP-0013,JOU-000716,Journal,2024-04-22,,,21170,0,21170,Journal voucher,Posted,2024-04-22,2024-05-01
VCH-0717,COMP-0013,PUR-000717,Purchase,2024-04-11,PTY-0221,Vikram Sharma Traders,152400,27432,179832,Purchase to Vikram Sharma Traders,Posted,2024-04-11,2024-05-01
VCH-0718,COMP-0013,PUR-000718,Purchase,2024-06-25,PTY-0227,Priya Singh Traders,1335000,240300,1575300,Purchase to Priya Singh Traders,Posted,2024-06-25,2024-05-01
VCH-0719,COMP-0013,SAL-000719,Sales,2024-05-05,PTY-0227,Priya Singh Traders,50900,9162,60062,Sales to Priya Singh Traders,Posted,2024-05-05,2024-05-01
VCH-0720,COMP-0014,SAL-000720,Sales,2024-05-03,PTY-0232,Neha Gupta Distributors,1074500,193410,1267910,Sales to Neha Gupta Distributors,Posted,2024-05-03,2024-05-01
VCH-0721,COMP-0014,PUR-000721,Purchase,2024-06-29,PTY-0239,Priya Kumar Traders,67500,12150,79650,Purchase to Priya Kumar Traders,Posted,2024-06-29,2024-05-01
VCH-0722,COMP-0014,SAL-000722,Sales,2024-04-11,PTY-0247,Neha Singh Distributors,79500,14310,93810,Sales to Neha Singh Distributors,Posted,2024-04-11,2024-05-01
VCH-0723,COMP-0014,JOU-000723,Journal,2024-05-22,,,10047,0,10047,Journal voucher,Posted,2024-05-22,2024-05-01
VCH-0724,COMP-0014,JOU-000724,Journal,2024-05-31,,,15937,0,15937,Journal voucher,Posted,2024-05-31,2024-05-01
VCH-0725,COMP-0014,SAL-000725,Sales,2024-04-16,PTY-0243,Amit Gupta Traders,910000,163800,1073800,Sales to Amit Gupta Traders,Posted,2024-04-16,2024-05-01
VCH-0726,COMP-0014,SAL-000726,Sales,2024-05-01,PTY-0247,Neha Singh Distributors,10500,1890,12390,Sales to Neha Singh Distributors,Posted,2024-05-01,2024-05-01
VCH-0727,COMP-0014,SAL-000727,Sales,2024-06-16,PTY-0240,Amit Singh Distributors,110000,19800,129800,Sales to Amit Singh Distributors,Posted,2024-06-16,2024-05-01
VCH-0728,COMP-0014,JOU-000728,Journal,2024-04-11,,,5278,0,5278,Journal voucher,Posted,2024-04-11,2024-05-01
VCH-0729,COMP-0014,PUR-000729,Purchase,2024-06-09,PTY-0230,Vikram Sharma Distributors,531900,95742,627642,Purchase to Vikram Sharma Distributors,Posted,2024-06-09,2024-05-01
VCH-0730,COMP-0014,SAL-000730,Sales,2024-04-18,PTY-0239,Priya Kumar Traders,675500,121590,797090,Sales to Priya Kumar Traders,Posted,2024-04-18,2024-05-01
VCH-0731,COMP-0014,SAL-000731,Sales,2024-04-13,PTY-0246,Priya Kumar Traders,65000,11700,76700,Sales to Priya Kumar Traders,Posted,2024-04-13,2024-05-01
VCH-0732,COMP-0014,JOU-000732,Journal,2024-04-25,,,17807,0,17807,Journal voucher,Posted,2024-04-25,2024-05-01
VCH-0733,COMP-0014,SAL-000733,Sales,2024-04-14,PTY-0237,Vikram Sharma Distributors,192500,34650,227150,Sales to Vikram Sharma Distributors,Posted,2024-04-14,2024-05-01
VCH-0734,COMP-0014,PUR-000734,Purchase,2024-05-30,PTY-0236,Priya Patel Suppliers,3000,540,3540,Purchase to Priya Patel Suppliers,Posted,2024-05-30,2024-05-01
VCH-0735,COMP-0014,PUR-000735,Purchase,2024-06-03,PTY-0237,Vikram Sharma Distributors,60000,10800,70800,Purchase to Vikram Sharma Distributors,Posted,2024-06-03,2024-05-01
VCH-0736,COMP-0014,SAL-000736,Sales,2024-06-25,PTY-0243,Amit Gupta Traders,402500,72450,474950,Sales to Amit Gupta Traders,Posted,2024-06-25,2024-05-01
VCH-0737,COMP-0014,JOU-000737,Journal,2024-05-24,,,12704,0,12704,Journal voucher,Posted,2024-05-24,2024-05-01
VCH-0738,COMP-0014,SAL-000738,Sales,2024-06-25,PTY-0235,Rajesh Kumar Traders,45000,8100,53100,Sales to Rajesh Kumar Traders,Posted,2024-06-25,2024-05-01
VCH-0739,COMP-0014,PUR-000739,Purchase,2024-04-08,PTY-0231,Priya Sharma Suppliers,440000,79200,519200,Purchase to Priya Sharma Suppliers,Posted,2024-04-08,2024-05-01
VCH-0740,COMP-0014,SAL-000740,Sales,2024-04-17,PTY-0230,Vikram Sharma Distributors,26000,4680,30680,Sales to Vikram Sharma Distributors,Posted,2024-04-17,2024-05-01
VCH-0741,COMP-0014,PUR-000741,Purchase,2024-05-26,PTY-0248,Rajesh Singh Traders,449500,80910,530410,Purchase to Rajesh Singh Traders,Posted,2024-05-26,2024-05-01
VCH-0742,COMP-0014,SAL-000742,Sales,2024-05-17,PTY-0234,Neha Patel Suppliers,380000,68400,448400,Sales to Neha Patel Suppliers,Posted,2024-05-17,2024-05-01
VCH-0743,COMP-0014,SAL-000743,Sales,2024-05-20,PTY-0243,Amit Gupta Traders,90500,16290,106790,Sales to Amit Gupta Traders,Posted,2024-05-20,2024-05-01
VCH-0744,COMP-0014,JOU-000744,Journal,2024-05-12,,,18839,0,18839,Journal voucher,Posted,2024-05-12,2024-05-01
VCH-0745,COMP-0014,JOU-000745,Journal,2024-06-12,,,11028,0,11028,Journal voucher,Posted,2024-06-12,2024-05-01
VCH-0746,COMP-0014,JOU-000746,Journal,2024-04-22,,,18624,0,18624,Journal voucher,Posted,2024-04-22,2024-05-01
VCH-0747,COMP-0014,JOU-000747,Journal,2024-06-02,,,15962,0,15962,Journal voucher,Posted,2024-06-02,2024-05-01
VCH-0748,COMP-0014,JOU-000748,Journal,2024-04-06,,,12865,0,12865,Journal voucher,Posted,2024-04-06,2024-05-01
VCH-0749,COMP-0014,JOU-000749,Journal,2024-05-06,,,10915,0,10915,Journal voucher,Posted,2024-05-06,2024-05-01
VCH-0750,COMP-0014,JOU-000750,Journal,2024-04-05,,,16820,0,16820,Journal voucher,Posted,2024-04-05,2024-05-01
VCH-0751,COMP-0014,SAL-000751,Sales,2024-06-18,PTY-0228,Vikram Singh Suppliers,3600,648,4248,Sales to Vikram Singh Suppliers,Posted,2024-06-18,2024-05-01
VCH-0752,COMP-0014,SAL-000752,Sales,2024-04-28,PTY-0244,Amit Gupta Traders,76000,13680,89680,Sales to Amit Gupta Traders,Posted,2024-04-28,2024-05-01
VCH-0753,COMP-0014,PUR-000753,Purchase,2024-04-06,PTY-0246,Priya Kumar Traders,345400,62172,407572,Purchase to Priya Kumar Traders,Posted,2024-04-06,2024-05-01
VCH-0754,COMP-0014,PUR-000754,Purchase,2024-05-23,PTY-0230,Vikram Sharma Distributors,45400,8172,53572,Purchase to Vikram Sharma Distributors,Posted,2024-05-23,2024-05-01
VCH-0755,COMP-0014,SAL-000755,Sales,2024-06-15,PTY-0236,Priya Patel Suppliers,1165000,209700,1374700,Sales to Priya Patel Suppliers,Posted,2024-06-15,2024-05-01
VCH-0756,COMP-0014,SAL-000756,Sales,2024-05-04,PTY-0235,Rajesh Kumar Traders,960000,172800,1132800,Sales to Rajesh Kumar Traders,Posted,2024-05-04,2024-05-01
VCH-0757,COMP-0014,SAL-000757,Sales,2024-05-01,PTY-0241,Priya Gupta Suppliers,275000,49500,324500,Sales to Priya Gupta Suppliers,Posted,2024-05-01,2024-05-01
VCH-0758,COMP-0014,JOU-000758,Journal,2024-06-08,,,22909,0,22909,Journal voucher,Posted,2024-06-08,2024-05-01
VCH-0759,COMP-0014,PUR-000759,Purchase,2024-04-03,PTY-0248,Rajesh Singh Traders,264500,47610,312110,Purchase to Rajesh Singh Traders,Posted,2024-04-03,2024-05-01
VCH-0760,COMP-0014,JOU-000760,Journal,2024-04-15,,,17747,0,17747,Journal voucher,Posted,2024-04-15,2024-05-01
VCH-0761,COMP-0014,PUR-000761,Purchase,2024-04-23,PTY-0234,Neha Patel Suppliers,20000,3600,23600,Purchase to Neha Patel Suppliers,Posted,2024-04-23,2024-05-01
VCH-0762,COMP-0014,PUR-000762,Purchase,2024-05-13,PTY-0243,Amit Gupta Traders,165000,29700,194700,Purchase to Amit Gupta Traders,Posted,2024-05-13,2024-05-01
VCH-0763,COMP-0014,SAL-000763,Sales,2024-05-04,PTY-0237,Vikram Sharma Distributors,590000,106200,696200,Sales to Vikram Sharma Distributors,Posted,2024-05-04,2024-05-01
VCH-0764,COMP-0014,SAL-000764,Sales,2024-05-17,PTY-0237,Vikram Sharma Distributors,168000,30240,198240,Sales to Vikram Sharma Distributors,Posted,2024-05-17,2024-05-01
VCH-0765,COMP-0014,JOU-000765,Journal,2024-04-16,,,5109,0,5109,Journal voucher,Posted,2024-04-16,2024-05-01
VCH-0766,COMP-0014,JOU-000766,Journal,2024-04-09,,,13849,0,13849,Journal voucher,Posted,2024-04-09,2024-05-01
VCH-0767,COMP-0014,JOU-000767,Journal,2024-04-15,,,16060,0,16060,Journal voucher,Posted,2024-04-15,2024-05-01
VCH-0768,COMP-0014,JOU-000768,Journal,2024-06-04,,,22517,0,22517,Journal voucher,Posted,2024-06-04,2024-05-01
VCH-0769,COMP-0014,SAL-000769,Sales,2024-06-05,PTY-0247,Neha Singh Distributors,131000,23580,154580,Sales to Neha Singh Distributors,Posted,2024-06-05,2024-05-01
VCH-0770,COMP-0014,SAL-000770,Sales,2024-04-23,PTY-0234,Neha Patel Suppliers,244500,44010,288510,Sales to Neha Patel Suppliers,Posted,2024-04-23,2024-05-01
VCH-0771,COMP-0014,SAL-000771,Sales,2024-04-19,PTY-0244,Amit Gupta Traders,134400,24192,158592,Sales to Amit Gupta Traders,Posted,2024-04-19,2024-05-01
VCH-0772,COMP-0014,JOU-000772,Journal,2024-05-20,,,19168,0,19168,Journal voucher,Posted,2024-05-20,2024-05-01
VCH-0773,COMP-0014,JOU-000773,Journal,2024-06-05,,,18187,0,18187,Journal voucher,Posted,2024-06-05,2024-05-01
VCH-0774,COMP-0014,SAL-000774,Sales,2024-04-22,PTY-0248,Rajesh Singh Traders,1400000,252000,1652000,Sales to Rajesh Singh Traders,Posted,2024-04-22,2024-05-01
VCH-0775,COMP-0014,SAL-000775,Sales,2024-05-20,PTY-0239,Priya Kumar Traders,65000,11700,76700,Sales to Priya Kumar Traders,Posted,2024-05-20,2024-05-01
VCH-0776,COMP-0014,SAL-000776,Sales,2024-05-28,PTY-0246,Priya Kumar Traders,414500,74610,489110,Sales to Priya Kumar Traders,Posted,2024-05-28,2024-05-01
VCH-0777,COMP-0014,JOU-000777,Journal,2024-04-01,,,20187,0,20187,Journal voucher,Posted,2024-04-01,2024-05-01
VCH-0778,COMP-0014,JOU-000778,Journal,2024-04-18,,,24485,0,24485,Journal voucher,Posted,2024-04-18,2024-05-01
VCH-0779,COMP-0014,SAL-000779,Sales,2024-06-15,PTY-0243,Amit Gupta Traders,282500,50850,333350,Sales to Amit Gupta Traders,Posted,2024-06-15,2024-05-01
VCH-0780,COMP-0014,PUR-000780,Purchase,2024-05-10,PTY-0241,Priya Gupta Suppliers,340000,61200,401200,Purchase to Priya Gupta Suppliers,Posted,2024-05-10,2024-05-01
VCH-0781,COMP-0014,JOU-000781,Journal,2024-06-25,,,9486,0,9486,Journal voucher,Posted,2024-06-25,2024-05-01
VCH-0782,COMP-0014,JOU-000782,Journal,2024-05-19,,,14196,0,14196,Journal voucher,Posted,2024-05-19,2024-05-01
VCH-0783,COMP-0014,JOU-000783,Journal,2024-05-23,,,22398,0,22398,Journal voucher,Posted,2024-05-23,2024-05-01
VCH-0784,COMP-0014,PUR-000784,Purchase,2024-04-10,PTY-0237,Vikram Sharma Distributors,334000,60120,394120,Purchase to Vikram Sharma Distributors,Posted,2024-04-10,2024-05-01
VCH-0785,COMP-0015,JOU-000785,Journal,2024-04-12,,,22201,0,22201,Journal voucher,Posted,2024-04-12,2024-05-01
VCH-0786,COMP-0015,SAL-000786,Sales,2024-05-17,PTY-0257,Priya Singh Traders,230500,41490,271990,Sales to Priya Singh Traders,Posted,2024-05-17,2024-05-01
VCH-0787,COMP-0015,JOU-000787,Journal,2024-06-14,,,12586,0,12586,Journal voucher,Posted,2024-06-14,2024-05-01
VCH-0788,COMP-0015,SAL-000788,Sales,2024-05-06,PTY-0266,Rajesh Sharma Traders,391300,70434,461734,Sales to Rajesh Sharma Traders,Posted,2024-05-06,2024-05-01
VCH-0789,COMP-0015,SAL-000789,Sales,2024-04-06,PTY-0262,Vikram Kumar Suppliers,17500,3150,20650,Sales to Vikram Kumar Suppliers,Posted,2024-04-06,2024-05-01
VCH-0790,COMP-0015,SAL-000790,Sales,2024-04-07,PTY-0252,Rajesh Kumar Suppliers,1225000,220500,1445500,Sales to Rajesh Kumar Suppliers,Posted,2024-04-07,2024-05-01
VCH-0791,COMP-0015,PUR-000791,Purchase,2024-05-22,PTY-0257,Priya Singh Traders,6000,1080,7080,Purchase to Priya Singh Traders,Posted,2024-05-22,2024-05-01
VCH-0792,COMP-0015,SAL-000792,Sales,2024-04-11,PTY-0254,Vikram Singh Suppliers,775000,139500,914500,Sales to Vikram Singh Suppliers,Posted,2024-04-11,2024-05-01
VCH-0793,COMP-0015,PUR-000793,Purchase,2024-06-27,PTY-0262,Vikram Kumar Suppliers,7500,1350,8850,Purchase to Vikram Kumar Suppliers,Posted,2024-06-27,2024-05-01
VCH-0794,COMP-0015,JOU-000794,Journal,2024-06-13,,,11145,0,11145,Journal voucher,Posted,2024-06-13,2024-05-01
VCH-0795,COMP-0015,SAL-000795,Sales,2024-06-10,PTY-0262,Vikram Kumar Suppliers,40000,7200,47200,Sales to Vikram Kumar Suppliers,Posted,2024-06-10,2024-05-01
VCH-0796,COMP-0015,SAL-000796,Sales,2024-06-07,PTY-0253,Rajesh Kumar Suppliers,270000,48600,318600,Sales to Rajesh Kumar Suppliers,Posted,2024-06-07,2024-05-01
VCH-0797,COMP-0015,JOU-000797,Journal,2024-06-18,,,9084,0,9084,Journal voucher,Posted,2024-06-18,2024-05-01
VCH-0798,COMP-0015,PUR-000798,Purchase,2024-05-03,PTY-0264,Rajesh Patel Traders,385000,69300,454300,Purchase to Rajesh Patel Traders,Posted,2024-05-03,2024-05-01
VCH-0799,COMP-0015,SAL-000799,Sales,2024-06-15,PTY-0257,Priya Singh Traders,120000,21600,141600,Sales to Priya Singh Traders,Posted,2024-06-15,2024-05-01
VCH-0800,COMP-0015,SAL-000800,Sales,2024-04-06,PTY-0256,Vikram Patel Suppliers,634000,114120,748120,Sales to Vikram Patel Suppliers,Posted,2024-04-06,2024-05-01
VCH-0801,COMP-0015,JOU-000801,Journal,2024-05-06,,,23827,0,23827,Journal voucher,Posted,2024-05-06,2024-05-01
VCH-0802,COMP-0015,SAL-000802,Sales,2024-06-23,PTY-0252,Rajesh Kumar Suppliers,442000,79560,521560,Sales to Rajesh Kumar Suppliers,Posted,2024-06-23,2024-05-01
VCH-0803,COMP-0015,SAL-000803,Sales,2024-04-19,PTY-0269,Vikram Kumar Traders,21000,3780,24780,Sales to Vikram Kumar Traders,Posted,2024-04-19,2024-05-01
VCH-0804,COMP-0015,SAL-000804,Sales,2024-05-23,PTY-0265,Vikram Patel Distributors,236700,42606,279306,Sales to Vikram Patel Distributors,Posted,2024-05-23,2024-05-01
VCH-0805,COMP-0015,SAL-000805,Sales,2024-05-20,PTY-0270,Vikram Patel Traders,607800,109404,717204,Sales to Vikram Patel Traders,Posted,2024-05-20,2024-05-01
VCH-0806,COMP-0015,SAL-000806,Sales,2024-05-03,PTY-0263,Neha Singh Traders,65000,11700,76700,Sales to Neha Singh Traders,Posted,2024-05-03,2024-05-01
VCH-0807,COMP-0015,PUR-000807,Purchase,2024-05-29,PTY-0255,Priya Sharma Suppliers,440000,79200,519200,Purchase to Priya Sharma Suppliers,Posted,2024-05-29,2024-05-01
VCH-0808,COMP-0015,SAL-000808,Sales,2024-05-06,PTY-0249,Vikram Gupta Distributors,342000,61560,403560,Sales to Vikram Gupta Distributors,Posted,2024-05-06,2024-05-01
VCH-0809,COMP-0015,PUR-000809,Purchase,2024-05-09,PTY-0263,Neha Singh Traders,440000,79200,519200,Purchase to Neha Singh Traders,Posted,2024-05-09,2024-05-01
VCH-0810,COMP-0015,SAL-000810,Sales,2024-05-20,PTY-0264,Rajesh Patel Traders,2700,486,3186,Sales to Rajesh Patel Traders,Posted,2024-05-20,2024-05-01
VCH-0811,COMP-0015,JOU-000811,Journal,2024-04-03,,,20922,0,20922,Journal voucher,Posted,2024-04-03,2024-05-01
VCH-0812,COMP-0015,JOU-000812,Journal,2024-04-29,,,23079,0,23079,Journal voucher,Posted,2024-04-29,2024-05-01
